iso3,country,leader_name,leader_dob,leader_age,leader_percentile,leader_ex,population_median,population_ex,age_gap,ex_gap,ofi
PRY,Paraguay,Santiago Peña,1978-11-16,47.0,77.922,32.823,28.0,51.385,19.0,-18.562,0.5531723908511703
PSE,Palestine,Mahmoud Abbas,1935-11-15,90.0,99.961,3.912,21.0,58.656,69.0,-54.743,0.9976614341381883
QAT,Qatar,Tamim bin Hamad Al Thani,1980-06-03,46.0,81.878,39.085,34.0,53.794,12.0,-14.709,0.5186092784232332
ROU,Romania,Ilie Bolojan,1969-03-17,57.0,69.46,24.607,44.0,37.785,13.0,-13.178,0.45873810247969005
RUS,Russia,Vladimir Putin,1952-10-07,73.0,91.314,13.818,41.0,35.979,32.0,-22.161,0.6429333239146965
RWA,Rwanda,Paul Kagame,1957-10-23,68.0,97.042,14.063,21.0,51.465,47.0,-37.402,0.8281278971270077
SAU,Saudi Arabia,Mohammed bin Salman,1985-08-31,40.0,70.816,41.124,30.0,50.796,10.0,-9.672,0.4161354651232377
SDN,Sudan,Abdel Fattah al-Burhan,1960-07-11,66.0,96.877,14.441,19.0,56.406,47.0,-41.965,0.8708069346875918
SEN,Senegal,Bassirou Diomaye Faye,1980-03-25,46.0,85.359,29.767,20.0,52.481,26.0,-22.713,0.6279004654401843
SGP,Singapore,Lawrence Wong,1972-12-18,53.0,71.75,35.159,37.0,49.635,16.0,-14.476,0.4825976585106894
SLB,Solomon Islands,Matthew Wale,1968-06-13,58.0,92.988,21.22,21.0,52.762,37.0,-31.542,0.752547617098081
SLE,Sierra Leone,Julius Maada Bio,1964-05-12,62.0,95.517,16.014,20.0,49.94,42.0,-33.926,0.7871991215696319
SLV,El Salvador,Nayib Bukele,1981-07-24,45.0,72.963,32.329,29.0,49.572,16.0,-17.243,0.520082687175799
SMR,San Marino,Luca Beccari,1974-10-29,51.0,51.578,36.787,50.0,36.787,1.0,0.0,0.20732020322840383
SOM,Somalia,Hamza Abdi Barre,1973-01-01,53.0,92.973,24.3,16.0,52.315,37.0,-28.015,0.7152509577064543
SRB,Serbia,Đuro Macut,1963-11-22,62.0,72.637,20.794,45.0,33.695,17.0,-12.901,0.46552388714221743
SSD,South Sudan,Salva Kiir,1951-09-13,74.0,99.041,10.105,20.0,46.96,54.0,-36.855,0.8312000416065116
STP,São Tomé and Príncipe,Américo Ramos,1957-01-01,69.0,97.339,14.483,20.0,51.688,49.0,-37.205,0.827465255564647
SUR,Suriname,Jennifer Geerlings-Simons,1953-09-05,72.0,95.872,13.5,29.0,50.608,43.0,-37.108,0.8202619679102524
SVK,Slovakia,Robert Fico,1964-09-15,61.0,75.487,22.2,43.0,39.922,18.0,-17.722,0.5346674377592112
SVN,Slovenia,Janez Janša,1958-09-17,67.0,79.963,20.125,46.0,37.912,21.0,-17.787,0.5510772603123207
SWE,Sweden,Ulf Kristersson,1963-12-29,62.0,75.461,25.618,41.0,44.511,21.0,-18.893,0.5481772330490691
SWZ,Eswatini,Mswati III,1968-04-19,58.0,92.314,20.521,23.0,48.619,35.0,-28.098,0.7136068913157533
SYC,Seychelles,Patrick Herminie,1963-09-22,62.0,88.203,19.196,35.0,40.491,27.0,-21.295,0.6217311697992952
SYR,Syria,Ahmed al-Sharaa,1982-10-29,43.0,77.654,36.65,24.0,55.362,19.0,-18.712,0.5539752774267097
TCD,Chad,Mahamat Déby,1984-04-04,42.0,86.284,29.86,16.0,48.998,26.0,-19.137,0.5891571533413927
TGO,Togo,Faure Gnassingbé,1966-06-06,60.0,94.587,15.764,20.0,48.736,40.0,-32.972,0.7736986454686346
THA,Thailand,Anutin Charnvirakul,1966-09-13,59.0,75.07,27.612,41.0,40.102,18.0,-12.49,0.46779167371811997
TJK,Tajikistan,Emomali Rahmon,1952-10-05,73.0,98.638,11.185,23.0,54.251,50.0,-43.066,0.8889257663044761
TKM,Turkmenistan,Serdar Berdimuhamedow,1981-09-22,44.0,75.002,34.497,28.0,48.504,16.0,-14.007,0.48743598109563746
TLS,Timor-Leste,Xanana Gusmão,1946-06-20,80.0,99.069,5.739,23.0,52.064,57.0,-46.325,0.9205719621517918
TON,Tonga,Fatafehi Fakafānua,1985-03-20,41.0,72.424,35.872,21.0,54.524,20.0,-18.652,0.5343177032440531
TTO,Trinidad and Tobago,Kamla Persad-Bissessar,1952-04-22,74.0,95.105,12.639,39.0,41.637,35.0,-28.998,0.7340957918873169
TUN,Tunisia,Kais Saied,1958-02-22,68.0,92.242,16.712,34.0,48.585,34.0,-31.873,0.7529098292624423
TUR,Türkiye,Recep Tayyip Erdoğan,1954-02-26,72.0,94.258,13.984,34.0,49.431,38.0,-35.447,0.7971253901781492
TUV,Tuvalu,Feleti Teo,1962-10-09,63.0,90.732,16.927,25.0,45.166,38.0,-28.239,0.7089711968761496
TWN,Taiwan,Lai Ching-te,1959-10-06,66.0,80.558,20.371,46.0,37.676,20.0,-17.305,0.5472425102274128
TZA,Tanzania,Samia Suluhu Hassan,1960-01-27,66.0,97.207,14.892,18.0,55.588,48.0,-40.695,0.8604140345399611
UGA,Uganda,Yoweri Museveni,1944-09-15,81.0,99.703,8.529,18.0,56.855,63.0,-48.326,0.9413432050355847
UKR,Ukraine,Volodymyr Zelenskyy,1978-01-25,48.0,58.118,32.728,42.0,37.03,6.0,-4.302,0.30017040604740947
URY,Uruguay,Yamandú Orsi,1967-06-13,59.0,76.829,27.038,37.0,45.239,22.0,-18.201,0.5450549863698768
USA,United States of America,Donald Trump,1946-06-14,80.0,95.635,9.658,39.0,46.304,41.0,-36.647,0.8147505594761298
UZB,Uzbekistan,Shavkat Mirziyoyev,1957-07-24,69.0,95.989,15.218,28.0,49.481,41.0,-34.262,0.7925402322069629
VCT,Saint Vincent and the Grenadines,Godwin Friday,1959-10-28,66.0,88.447,14.861,35.0,39.28,31.0,-24.419,0.6585365458094689
VEN,Venezuela,Nicolás Maduro,1961-11-23,64.0,88.769,20.478,30.0,46.477,34.0,-25.999,0.6772186046617443
VNM,Vietnam,Lê Minh Hưng,1970-12-11,55.0,79.505,25.646,34.0,48.066,21.0,-22.421,0.6027861153289227
VUT,Vanuatu,Jotham Napat,1972-08-07,54.0,89.334,26.118,21.0,53.644,33.0,-27.526,0.6959020146543621
WSM,Samoa,Laʻauli Leuatea Schmidt,1966-04-14,60.0,90.449,18.387,20.0,53.645,40.0,-35.258,0.7790267263280082
YEM,Yemen,Rashad al-Alimi,1954-01-15,72.0,98.825,10.842,19.0,57.737,53.0,-46.895,0.9245290129754358
ZAF,South Africa,Cyril Ramaphosa,1951-11-17,74.0,97.361,13.088,29.0,44.852,45.0,-31.764,0.7723751036035966
ZMB,Zambia,Hakainde Hichilema,1962-06-04,64.0,97.688,16.497,19.0,55.803,45.0,-39.305,0.8493200064365217
ZWE,Zimbabwe,Emmerson Mnangagwa,1942-09-15,83.0,99.741,6.377,19.0,51.893,64.0,-45.516,0.9163802300355458
